,2013,2014,2015,2016,2017,2018
Baden-Württemberg [BW],4831,5000,5161,5314,5518,5819
Bayern [BY],10826,11073,11375,11476,11883,12545
Berlin [B],70,79,84,87,98,106
Brandenburg [BB],2715,2800,2950,3208,3379,3703
Bremen [HB],35,39,41,41,42,44
Hamburg [HH],35,37,38,39,42,45
Hessen [HE],1721,1781,1819,1869,1940,2054
Mecklenburg-Vorpommern [MV],1211,1290,1373,1510,1661,1878
Niedersachsen [NI],3405,3491,3547,3624,3737,3930
Nordrhein-Westfalen [NRW],4102,4228,4306,4456,4638,4917
Rheinland-Pfalz [RLP],1795,1866,1914,2015,2098,2196
Saarland [SL],384,408,413,426,450,465
Sachsen [SN],1460,1497,1549,1668,1728,1892
Sachsen-Anhalt [ST],1609,1725,1951,2140,2242,2503
Schleswig-Holstein [SH],1470,1492,1519,1535,1572,1667
Thüringen [TH],1039,1095,1182,1272,1322,1464
Deutschland [D],36710,37900,39224,40679,42339,45277
