,2013,2014,2015,2016,2017,2018
Niedersachsen [NI],7664,8087,8453,9229,10435,11080
Brandenburg [BB],5088,5410,5832,6333,6810,7104
Schleswig-Holstein [SH],3877,4884,5732,6184,6626,6727
Sachsen-Anhalt [ST],4040,4324,4592,4844,5104,5122
Nordrhein-Westfalen [NRW],3434,3681,4048,4625,5479,5825
Rheinland-Pfalz [RLP],2278,2699,2908,3136,3384,3546
Mecklenburg-Vorpommern [MV],2336,2626,2843,2966,3131,3245
Bayern [BY],1125,1459,1821,2169,2483,2505
Thüringen [TH],1003,1225,1297,1405,1551,1648
Sachsen [SN],1039,1097,1161,1171,1215,1268
Hessen [HE],972,1080,1280,1544,1845,2071
Baden-Württemberg [BW],527,589,735,1099,1486,1602
Saarland [SL],159,234,298,323,429,486
Bremen [HB],158,166,174,179,190,203
Hamburg [HH],55,57,63,64,112,122
Berlin [B],2,4,9,12,12,12
Deutschland [D],34660,37620,41297,45283,50291,52656
Offshore 50 Hz [O50Hz],48.3,48.3,336.3,336.3,1039.8,1039.8
